,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g),Chlorophyll (mg/g),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Dry stem  weight (g),Root fresh weight (g),Root dry weight (g),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Healthy soybean,79.11,39.37,178,53.84,64.71,53.84,17.24,58.88,26.37,390,25.52,9.73,60.49,28.5,15.71,28,15.59,9.2,16.71,14.02,12.66
Healthy soybean,62.02,38.39,206.89,62.57,54.18,62.57,15.03,57.17,20.59,241.53,48.84,10.81,83,24.69,19.18,28.1,17.55,4.67,9.57,14.85,17.37
Healthy soybean,56.7,39.62,191.68,67.42,54.12,67.42,21.39,57.32,22.7,366.74,23.4,14.53,69.26,27.1,16.29,28.79,19.27,7.53,13.73,23.2,20.84
Healthy soybean,73.05,33.13,208.68,97.37,99.81,97.37,15.75,50.2,23.56,273.5,48.33,10.89,90.11,22.01,11.72,21.45,12.15,7.66,17.47,18.69,20.8
Healthy soybean,49.64,28.57,157.61,82.82,69.5,82.82,22.82,57.2,26.65,232.96,45.67,12.8,57.27,24.62,19.86,26.33,12.49,1.15,17.93,19.33,11.73
Healthy soybean,81.77,35.32,236.21,84.46,66.75,84.46,22.61,59.01,23.07,321.89,25.71,9.85,57.22,21.13,11.21,22.96,15.41,2.26,14.62,19.18,11.76
Healthy soybean,81.8,36.46,185.77,64.02,69.71,64.02,21.7,36.89,20.72,300.63,31.77,9.96,52.3,24.5,15.53,21.7,15.04,1.48,15.19,14.11,18.91
Healthy soybean,100.55,36,161.76,68.85,79.58,68.85,20.1,38.93,19.41,341.39,46.19,12.06,93,21.95,16.11,28.34,18.85,4.54,9.66,18.46,13.32
Healthy soybean,90,25.22,213.92,82.15,53.2,82.15,15.36,55.72,20.41,276.88,49.49,9.75,78.78,27.01,11.99,27.31,12.22,10.41,9.14,17.14,20.08
Healthy soybean,71.45,39.94,207.09,92.82,93.91,92.82,19.32,36.49,24.09,260.3,50.75,8.55,74.81,27.06,16.51,24.95,14.16,7.48,17.3,14.79,13.33
Healthy soybean,107.84,33.14,179,63,84.27,63,15.77,53.48,23.38,229.04,33.42,16.05,63.46,29.55,16.92,29.35,14.35,9.67,9.72,15.22,14.04
Healthy soybean,42.9,30.5,195.71,61.03,55.87,61.03,21.69,30.04,27.19,327.57,27.56,11.38,63.6,23.13,18.39,29.98,17.51,4.5,16.85,16.86,12.34
Healthy soybean,71.54,28.34,230.41,65.84,66.21,65.84,16.78,34.51,23.34,398.46,33.64,15.4,86.12,26.47,19.01,23.74,12.81,1.27,15.69,15.32,19.77
Healthy soybean,73.69,31.91,195,69.88,99.41,69.88,14.88,38.17,21.65,358.79,37.23,10.75,55.21,22.95,20.04,21.52,18.77,9.03,15.67,14.09,15.32
Healthy soybean,86.91,28.88,220,75.07,69.67,75.07,13.65,31.83,23.61,338,41.78,10.52,86.37,24.73,19.51,27.16,14.12,8,18.19,22.55,20.36
Healthy soybean,102,37.73,214.64,91.13,98.17,91.13,20.74,30.28,26.66,376.62,39.35,7.27,79.71,29.54,17.99,24.8,16.35,7.93,12.87,22.17,11.24
Healthy soybean,56.32,22.7,235.66,99.38,60.3,99.38,21.93,55.88,24.74,257.2,42.1,14.43,86.03,21.41,20.56,23.71,15.22,2.09,16.74,22.32,12.14
Healthy soybean,82.44,33.03,189.29,83.31,66.55,83.31,19.99,40.83,26.55,277.33,36.39,16.41,62.57,21.93,12.25,25.7,15.68,4.93,11.28,16.01,17.79
Healthy soybean,102.27,32.73,219.48,54,64.18,54,14.8,49.26,20.32,388,20.53,10.35,62.29,21.6,19.94,25.59,15.28,9.72,16.9,16.84,13.56
Healthy soybean,104.38,25.3,180.39,53.14,74.98,53.14,20.69,54.55,20.73,342.14,38,12.72,50.36,28.05,11.49,23.18,16.53,4.48,13.55,17.58,13.41
Healthy soybean,48.09,38.25,197.72,81.49,81.89,81.49,20.48,45.49,19.82,235.54,24.59,13.16,84.75,23.04,14.89,26.27,12.06,2.04,15.3,18.11,17.15
Healthy soybean,52.88,26.17,168.45,74.65,70.99,74.65,14.65,41.88,20.83,219.17,32.1,12,58.86,25.4,11.97,30.64,14.81,3.37,16.22,17.77,12.9
Healthy soybean,103.27,36.02,160.04,99.03,82.43,99.03,21,47.86,27.29,382.12,36.18,8.81,70.28,27.45,18.4,25.99,11.43,10.45,14.47,14.81,19.39
Healthy soybean,64.66,29.74,157.7,85.43,76.59,85.43,19.85,52.73,22.08,248,42.98,12.71,68.27,20.88,11.68,26.8,17.87,3.4,11.93,21.02,13.2
Healthy soybean,82.63,37.91,207.11,74.8,78.08,74.8,14.62,47.47,19.92,250.31,48.21,14.06,88.23,26.83,15.22,26.15,13.13,9.82,14.75,17.8,20.56
Healthy soybean,96.85,25.87,165.52,85.59,75.65,85.59,20.57,59.82,23.78,319.13,48.3,7.38,62.68,24.17,11.86,26.35,18.81,2.36,17.9,18.77,17.59
Healthy soybean,93.15,29.54,230,56.01,67.3,56.01,19.12,49.4,23.42,247.8,49.89,8,50.53,27.17,19.09,27.94,18.88,7.86,12.79,20.33,16.06
Healthy soybean,73.93,32.42,150.23,62.61,91.65,62.61,21.74,53.36,19.11,383.75,36.65,10.62,92.98,24.05,11.76,27.2,19.13,9.14,10.35,21.47,17.52
Healthy soybean,51.09,32.07,229.34,84.36,64.69,84.36,16.95,57.21,23.45,290,40.38,9.2,84.01,29.01,16.35,24.74,19.69,6.9,9.07,17.67,20.91
Healthy soybean,96.71,25.48,209.8,93.96,58.09,93.96,14.16,59.07,26.64,299.6,22.99,12.21,77.18,20.04,14.41,26.49,11.39,2.92,15.33,21.66,18.51
Healthy soybean,71.4,36.12,228.32,88.46,66.41,88.46,22.53,38.31,23.62,240.41,23.25,12.45,52,22.67,19.98,25.9,11.29,5.64,11.26,14.99,20.74
Healthy soybean,109.23,38.52,144.01,75.03,63.79,75.03,17.34,49.16,24.32,293.32,47.97,9.57,68.07,23.22,19.78,23.4,14.88,4.27,18.72,22.52,18.02
Healthy soybean,102.13,22.54,232.02,91.63,73.95,91.63,14.22,36.26,27.24,251.46,45.85,8.03,97.65,20.98,20.55,27.7,19.89,4.72,9.37,19.81,17.76
Healthy soybean,103.79,37.37,232.78,55.21,58.02,55.21,13.51,50.24,23.35,355.98,20.67,8.43,72.63,26.3,17.54,27.91,12.12,8.6,11.07,17.1,13.39
Healthy soybean,61.08,22.13,183.33,50.29,53.4,50.29,16.48,30.03,27.98,310.38,24.66,10.96,75.68,27.78,14.52,26.4,13.73,2.22,18.49,15.46,11.29
Healthy soybean,48.99,34.02,232.28,58.81,95.55,58.81,18.43,47.67,21.12,366.42,49.47,16.08,67.42,27.02,16.28,23.16,18.22,6.81,13.36,20.56,12.74
Healthy soybean,104.69,26.65,143.09,98.69,95.46,98.69,15.73,36.72,18.1,302,29.71,8.61,71.29,26,18.26,25.1,11.1,6.99,9.74,17.36,18.83
Healthy soybean,76.32,22.59,172.34,82.27,55.38,82.27,13.35,40,27.48,381.17,22.81,14.75,81.72,22.84,11.42,22.67,11.86,10.98,11.27,17.43,14.28
Healthy soybean,84.35,37.81,211.09,53.27,53.14,53.27,16.5,43.32,21.91,287.32,35.58,8.14,68.89,28.87,13.04,23.26,18.37,8.57,18.04,17.94,14.42
Healthy soybean,46.88,40.25,187,65.05,85.44,65.05,21.67,49.55,22.28,272.25,30.36,16.32,99.49,23.16,17.66,27.22,19.74,8.11,15.25,22.51,14
Healthy soybean,60.98,24.87,193.62,84.97,56.67,84.97,14.61,32.98,25.72,341.79,47.09,16.57,99.62,20.63,13.73,22.28,16.28,5.87,16.29,14.94,20.09
Healthy soybean,59.86,26.39,145,99.2,98.19,99.2,19.07,37.22,27.33,349.07,50.29,14.82,56.89,29.07,11.79,27.9,12.83,1.78,15.42,16.87,11.5
Healthy soybean,50.42,30.35,236.45,99.47,94.8,99.47,18.42,41.39,27.38,314,43.95,11.16,74.89,21.09,13.9,24.54,15.97,2.38,9.67,19.63,13.06
Healthy soybean,88.33,30.05,177.61,62.26,65.65,62.26,13.47,48.33,26.86,314.24,33.87,13.29,58.39,20.75,14.2,28.15,12.36,4.28,15.97,14.24,14.45
Healthy soybean,80.22,22.32,170,87.22,99.15,87.22,22.36,56.87,24.49,404.39,47.96,15.84,53.15,25.78,12.84,24.4,14.97,6.75,16.25,19.97,15.06
Healthy soybean,84.32,23.34,201.63,53.09,85.94,53.09,21.26,55.48,19.79,307,40.89,7.75,64.89,24.79,17.13,30.37,15.4,7.96,10.73,14.8,15.65
Healthy soybean,69.31,23.82,173.64,94,71.61,94,18.64,40.53,27.11,242.1,30.13,15.91,62.3,27.09,19.31,28.18,18.64,9.76,13.25,23.63,14.84
Healthy soybean,87,26.5,229.65,97.63,69.43,97.63,14.09,46.75,26.68,298,31.56,10.45,50,20.57,15.82,26.66,17.73,10.23,18.85,22.6,19.16
Healthy soybean,44.82,36.11,168.67,72,54.44,72,16.64,46.79,21.26,225.25,48.53,16.91,67.08,28.66,13.56,26.43,13.31,7.99,9.21,22.16,19.67
Healthy soybean,68.47,40.63,218.79,78.97,54.97,78.97,18.97,55.01,25.21,295.66,35.93,8.79,67.65,29.84,13.61,23.24,16.15,4.52,13.91,17.66,12.72
Healthy soybean,73.66,39.06,162,93.87,99.48,93.87,18.68,37.98,24.8,304.58,36.47,12.24,72.58,27.51,18.82,29.97,15.67,6.23,16.68,20.27,17.49
Healthy soybean,62.91,38.49,156.22,83.56,99,83.56,17.64,31.72,19.44,263.21,23.39,16.17,80.89,28.12,18.56,24.1,15.27,9.89,15.92,18.3,19.1
Healthy soybean,51,32.13,167.11,66.78,87.53,66.78,14.07,45.34,19.13,279,43.14,14.73,73.63,20.99,15.84,28.8,18.6,6.42,18.91,17.56,19.45
Healthy soybean,81.53,33.47,207.13,65.89,77.58,65.89,15.38,49.33,23.84,247,49.15,13.24,57.2,20.19,20.97,22.64,11.37,10.75,9.92,15.2,19.38
Healthy soybean,81.59,33.77,189,75.09,64.53,75.09,22.67,33.7,19.52,392.59,30.53,10.94,59.53,28.37,11.28,30.23,20.22,10.11,17.63,22.48,12.95
Healthy soybean,41.09,35.96,159.94,88.89,95.57,88.89,18.73,36.34,23.4,276.49,26.25,12.89,73.46,28.57,11.57,24.76,19.72,2.88,17.27,18.59,12.47
Healthy soybean,52.36,33.73,156.45,65.13,74.03,65.13,22.46,48.61,18.13,340.98,40.94,13.27,64.82,25.42,20.46,27.4,12.69,5.53,10,23.76,13.91
Healthy soybean,52.17,34.45,148.96,58.66,87.82,58.66,13.31,37.38,25.77,384.06,37.35,13.65,69.79,20.17,13.11,27.6,12.73,2.33,13.64,15.89,17.53
Healthy soybean,45.01,35.09,151.23,71.07,72.42,71.07,17.4,49.48,20.05,336.08,32.64,16.45,56.51,20.27,16.88,21.74,17.52,4.33,16.93,21.7,11.07
Healthy soybean,88.17,37.8,235.3,95.76,51.54,95.76,15.47,37.17,26.13,299.87,43,13.48,88.82,22.7,17.61,22.14,20.15,10.1,12.98,20.35,12.97
Healthy soybean,100,32.06,232.51,69.79,57.09,69.79,21.86,30,23.27,279.59,34.1,15.11,58.54,25.09,12.47,30.91,11.4,9.34,14.08,21.36,16.38
Healthy soybean,79.84,27.39,228.34,51.63,84.47,51.63,21.78,46.87,25.75,357.86,25.94,11.32,79.25,23.68,13.37,27.37,19.85,1.88,16.86,18.9,13.85
Healthy soybean,98.9,39.76,147.92,85.71,50.82,85.71,18.51,31.86,27.8,375.82,26.09,14.86,81.17,28.6,17.3,28.5,19.77,9.78,11.01,14.05,18.17
Healthy soybean,62,38.96,147.88,81.37,62.75,81.37,16.77,49.27,23.44,410.51,30.8,15.92,84.91,28.07,12.77,30.19,12.6,2.23,16.31,15.14,19.13
Healthy soybean,84.81,30.18,153.7,87.79,75.72,87.79,18.26,52.53,22.09,294.31,41.49,9.26,74.65,24.12,17.19,25.71,13.43,3.61,14.92,23.37,11.39
Healthy soybean,51.38,36.13,207.72,78.94,61.68,78.94,22.8,40.18,22.03,284.54,22.83,14.07,82.02,28.18,11.9,23.2,16.27,2.46,12.13,21.48,20.17
Healthy soybean,61.61,28.32,231.43,64.34,88.31,64.34,19.3,59.8,20.94,357.82,24.53,15.36,77.21,20.93,18.73,29.62,19.35,4.46,16.03,16,14.67
Healthy soybean,61.47,24.09,155.71,92.16,70.11,92.16,13.74,54.6,18.24,340.05,28.76,7.51,63.21,27.25,19.22,25.24,15.92,10.76,9.42,14.19,17.99
Healthy soybean,92.89,37.7,173,81.96,93.65,81.96,22.45,56.55,22.21,211.52,39.29,15.65,79.95,26.15,20.3,30.09,11.02,4.21,14.59,16.99,13.89
Healthy soybean,88.71,36.99,157.18,50.8,57.23,50.8,22.59,58.41,18.23,379.69,48.76,7.96,70.37,29.96,16.73,28.81,14.18,7.43,11.67,22.94,16.89
Healthy soybean,100.51,26.64,198.62,81.8,94.59,81.8,18.84,58.97,23.96,387.21,34.75,10.51,56.19,29.35,13.14,24.3,14.76,6.69,13.62,20.64,14.86
Healthy soybean,74.92,33.98,171.66,72.1,83.32,72.1,14.06,39.89,20.31,259.98,48.8,10.39,96.36,22.74,14.81,27.71,13.29,10.52,14.34,14.17,13.8
Healthy soybean,109.54,22.91,198.94,71.15,67.52,71.15,15.28,40.4,22.3,398.1,29.95,16.01,89.25,26.87,16.9,21.64,16.74,10.9,16.67,19.28,19.53
Healthy soybean,84.7,39.85,154.14,94.28,84.41,94.28,22.4,51,24.82,401,26.42,12.42,72.03,26.29,14.18,27.4,11.12,7.81,10.28,16.67,11.46
Healthy soybean,71.74,30.15,193.1,74.35,73,74.35,21.8,50.64,20.2,380.71,22.9,12.4,93.27,24.11,15.43,24.96,19.7,1.01,11.49,19.71,20.65
Healthy soybean,75.17,28.6,160.45,56.22,72.6,56.22,15,49.97,22.75,405.48,45.37,9.42,65.64,26.39,16.53,30.43,12.45,1.09,14.97,14.7,16.53
Healthy soybean,84.84,35.16,150.27,71.64,51.23,71.64,15.5,49.65,25.9,288.34,29.39,14.96,89.82,25.72,13.77,28.11,16.7,5.81,12.37,16.88,16.4
Healthy soybean,71.2,31.05,205.25,64.89,99.46,64.89,21.52,41,24.29,399,38.02,14.93,94.31,28.32,14.05,23.1,20.62,4.08,14.16,17.23,19.22
Healthy soybean,92.91,23.18,164.6,56.3,57.85,56.3,14.67,40.55,21.49,283.27,45.25,8.94,92.39,28.15,11.19,26.9,16.59,3.42,16.47,20.71,20.04
Healthy soybean,66.53,31.17,232.12,81.91,79.25,81.91,13.27,56.07,23.55,230.87,46.67,7.53,58.73,27.56,17,22.39,13.11,9.4,15.9,22.81,18.59
Healthy soybean,60.38,26.21,163.42,83.98,51.25,83.98,22.96,32.81,18.52,307.09,42.7,8.25,74.22,21.69,13.48,28.65,13.92,3.32,10.85,21.73,17.21
Healthy soybean,86.51,28.42,229,82.51,99.72,82.51,22.09,59.63,18.86,252.44,39.93,9.62,70.73,29.32,20.07,21.11,16.72,8.53,18.45,16.57,11.67
Healthy soybean,102.11,28,169,91,59.54,91,18.74,45.46,24.48,409,23.27,11.7,55.94,21.52,19.88,24.48,15.99,6.53,11,23.34,19.97
Healthy soybean,76.77,37.67,150.99,97.8,50.95,97.8,13.37,39,23.29,213.26,47.54,14.89,71.64,20.84,16.58,26.63,14.5,1.39,14.48,17.02,15.18
Healthy soybean,45.35,33.3,207.24,57.2,88.7,57.2,18.29,49.03,25.56,235.55,49.43,15.37,55.47,29.39,19.67,22.55,20.67,8.73,14.6,14.22,14.11
Healthy soybean,67.02,34.09,165.32,80.62,50.71,80.62,20.24,56.69,27.06,395.34,35,11.85,54.45,23.73,13.31,27.82,20.04,4.17,9.7,14.55,16.79
Healthy soybean,100.95,36.89,191.22,85.2,86.64,85.2,17.5,31.54,27.02,240.05,42.31,10.91,97.08,24.09,15.11,30.34,11.31,5.57,9.82,14.53,17.11
Healthy soybean,100.28,27.59,222.15,79.71,83.55,79.71,20.91,40.28,22.13,319,30.44,10.58,57.5,24.52,14.36,23.49,13.4,7.27,10.96,14.65,17.69
Healthy soybean,82.6,34.21,143.65,59.68,61.72,59.68,18.52,55.08,26.47,258.16,35.97,7.74,59.17,25.1,14.58,26.39,15.63,9.54,17.2,21.88,14.21
Healthy soybean,91.13,32.9,234.2,78.32,94.36,78.32,14.79,42.27,27.93,281.82,47.99,7.73,63.94,24.25,16.72,28.24,13.71,2.2,12.63,14.4,11.62
Healthy soybean,104.66,23.65,196,65.14,61.83,65.14,14.17,55.53,21.43,403.46,28.73,7.31,87,25.43,17.24,27.54,13.15,2.16,17.56,21.01,19.61
Healthy soybean,52.83,24.67,163.18,63.11,89.89,63.11,17.85,37.35,18.44,234.67,27.98,9.32,78.24,29.04,15.9,28.14,19.11,9.58,18.54,23.43,20.32
Healthy soybean,51.19,31.58,239.97,58.18,95.62,58.18,18.13,58.03,26.71,234.68,28.46,13.59,97.06,20.22,18.55,27,13.03,7.88,15.41,23.79,11.95
Healthy soybean,94.13,38.47,200.1,85.03,79.51,85.03,16.31,44.82,25.2,352,21.9,14.58,76.7,26.49,12.9,24,17.93,2.99,13.52,16.02,17.44
Healthy soybean,49.75,38.7,225.44,65.85,84.49,65.85,21.94,59.77,22.87,337.75,27.25,8.52,94.06,22.66,12.89,28.4,20.31,8.23,15.94,16.29,12.44
Healthy soybean,54.9,30.31,206,52.24,80.16,52.24,21.11,44.58,21.15,376.27,25.92,15.19,74.63,27.05,19.12,29.77,16.32,10.68,16.1,22.73,15.48
Healthy soybean,103.24,39.57,208.33,88.52,90.95,88.52,18.81,33.71,23.15,389.02,32.71,15.73,89.86,24.82,17.14,28.58,17.29,9.24,9.11,17.89,17.98
Healthy soybean,91.99,31.9,162.19,93.16,52,93.16,22.98,46.45,20.46,359.83,35.47,16.58,58.82,25.05,12.5,25.85,14.61,3.39,15.4,21.57,17.63
Healthy soybean,60.41,38.81,159,90.63,53.99,90.63,20.8,57.89,21.88,309.76,40.95,9.24,62.59,21.04,16.21,25.97,19.78,8.3,12.71,19.92,11.42
Healthy soybean,109,28.84,215.96,80.26,64.7,80.26,22.38,36.38,24.71,277.62,40.26,7.08,96.24,23.84,19.41,30.42,14.19,7.68,15,14.18,19.51
Healthy soybean,41.94,35.5,194.7,65.94,77.36,65.94,17.17,56.77,20.45,210,42.13,15.04,88.52,27.46,17.65,30.41,14.69,8.05,13.48,16.74,17.14
Healthy soybean,72.24,36.35,213.73,76.79,70.41,76.79,13.13,59.08,20.23,398.03,29.81,14.64,82.84,22.81,17.31,29.84,19.17,7.02,16.61,22.46,11.96
Healthy soybean,83.86,26.01,230.33,82.4,94.9,82.4,18.09,41.83,27.43,379.72,25.97,16.06,66.78,24.68,12.3,30.49,14.57,6.37,15.82,21.39,15.91
Healthy soybean,71.27,29.36,192.14,90.74,57.73,90.74,21.97,36.73,18.17,310.14,50.62,15.82,91.99,25.93,17.52,24.15,18.61,7.9,15.99,20.99,12.43
Healthy soybean,42.58,37.42,237.02,51.07,54.69,51.07,17.82,34.68,21.58,331.91,35.21,13.96,80.26,23.27,20.98,24.53,18.33,8.24,15.21,19.11,20.44
Healthy soybean,61.29,30.74,178.24,75.97,82.32,75.97,22.3,43,18.83,309.73,22.31,13.91,55.91,28.64,19.43,25.74,17.95,3.01,10.54,17.37,16.64
Healthy soybean,63.96,39.33,143.95,54.55,78.8,54.55,16.32,47.8,23.14,306.25,44.11,10.65,80,28.19,18.09,26.77,14.83,8.54,17.31,15.85,17.39
Healthy soybean,108.59,23.83,228.48,79.63,59.82,79.63,22.77,57.13,20.54,333.45,26.16,14.63,78.05,23.83,12.28,26.19,15.78,5.21,10.47,17.12,17.16
Healthy soybean,72.91,30.29,234.99,95.16,78.44,95.16,13.45,32.5,25.1,305.03,32.42,14.9,73.85,20.46,11.44,29.85,16.86,7.42,17.25,18.27,20.86
Healthy soybean,92.55,34.47,176.09,90.08,92.46,90.08,16.75,44.95,21.81,220.2,45.06,7.54,94.67,27.74,17.4,30.06,19.19,6.82,12.03,21.63,15.1
Healthy soybean,85.88,24.54,170.45,91.07,85.76,91.07,13.56,40.44,23.49,289,22.22,12.35,95.36,28.93,15.89,30.59,20.48,1.98,18.24,18.55,20.13
Healthy soybean,52,23.67,172.16,58.85,81.46,58.85,19.36,46.85,22.26,285.5,28.05,7.23,56.81,28.54,19.5,30.16,19.67,6.3,18.73,23.33,14.48
Healthy soybean,54.09,37.15,161.74,66.5,71.91,66.5,17.8,33.93,21.67,390.51,29,14.87,85.61,23.64,11.11,27.3,14.92,2.76,16.94,21.25,20.76
Healthy soybean,47.66,22.28,215.81,61.66,53.71,61.66,20.16,45.38,24.12,354.93,34.18,9.54,60.21,21.97,18.33,30.27,19.1,9.44,9.06,15.72,16.63
Healthy soybean,94.31,28.02,212.71,77.32,57.65,77.32,21.57,48.2,19.59,302.81,31.54,12.59,98.47,21.19,13.28,22.15,15.84,2.9,12.26,17.11,15.47
Healthy soybean,76.93,32.48,146,96.14,55.75,96.14,19.23,49.7,20.91,354,32.48,12.91,73.91,20.49,17.02,21.56,13.49,7.37,9.6,18.88,12.32
Healthy soybean,103.48,38.69,217.88,79.52,67.1,79.52,14.64,50.21,25.96,228,38.35,14.42,98.66,21.31,17.33,27.47,20.39,3.57,17.04,18.57,20.4
Healthy soybean,94.71,24.52,174.59,99.58,81.44,99.58,17.66,32.71,27.94,274,47.98,12.2,70.98,29.67,12.03,25.93,11.34,8.75,15.83,19.25,13.81
Healthy soybean,48.14,40.21,195.66,94.3,65.61,94.3,20.87,39.82,18.73,220.83,30,7.55,98.14,22.42,11.52,29.7,14.24,6.68,9.73,20.57,16.76
Healthy soybean,107.87,34.24,188.91,52.45,82.06,52.45,18.95,56.37,23.54,221.34,37.49,15.39,52.99,24.98,17.44,25.62,13.44,1.96,18.11,20.46,16.95
Healthy soybean,78.26,33.26,193.86,64.05,67.25,64.05,22.34,43.15,25.84,397.67,37.61,9.37,69.24,26.35,14.84,23.5,19.5,1.45,13.03,22.31,11.55
Healthy soybean,53.36,39.7,173.45,96.61,59.24,96.61,14.81,31.37,21.73,355.17,24.43,12.93,64.37,22.41,13.42,29.33,19.79,10.71,18.06,20.44,16.59
Healthy soybean,84.85,39.29,142.41,50.52,88.06,50.52,15.23,35.07,21.17,356.72,28.86,7.97,98.74,27.89,15.37,21.2,13.88,1.72,13.81,20.23,16.08
Healthy soybean,63.4,40.31,215.53,52.41,61.4,52.41,19.77,55,26.67,343,44.67,15.21,83.98,23.75,14.65,25.72,16.9,7.47,17.37,17.63,20.16
Healthy soybean,49.52,23.86,167.08,86.79,88.9,86.79,21.6,39.35,25.24,375,40.88,10.98,78.99,29.74,13.97,30.77,19.41,1.58,12.19,16.4,13.46
Healthy soybean,101.85,37.51,166,63.33,52.95,63.33,16.86,45.99,18.85,281.44,44.6,7.49,81.69,24.64,11.81,30.46,17.34,6.6,13.59,20.3,18.08
Healthy soybean,89.25,37.19,169.81,70.52,68.54,70.52,21.71,49.47,20.8,260.73,23.03,11.54,83.94,28.01,14.59,22.36,14.56,10.81,17.14,20.81,12.49
Healthy soybean,85.44,39.88,222.84,56.81,99.93,56.81,16.99,50.25,27.04,292,21.71,11.22,80.47,23.78,13.03,30.85,19.54,7.55,18.31,23.39,13.62
Healthy soybean,65.11,40.13,232.56,75.19,85.21,75.19,15.09,33.91,25.04,388.7,27.75,16.83,83.14,22.76,16.33,26.38,14.75,3.73,17.44,15.65,17.56
Healthy soybean,70.91,25.59,141.75,73.91,68.73,73.91,20.32,30.95,25.67,273,21.88,7.34,60.59,28.67,15.52,26.53,18.41,6.34,14.26,19.23,11.58
Healthy soybean,90.29,31.95,184.09,94.52,83.57,94.52,18.66,37.49,18.05,321.28,26.78,9.08,75.19,22.29,14.86,22.53,20.5,5.76,14.4,22.22,15.31
Healthy soybean,81.65,40.71,151.72,53.62,96.54,53.62,15.83,59.84,20.77,317.99,41,15.22,68.57,25.24,12.6,27.83,20.8,9.64,9.68,23,16.49
Healthy soybean,104,25.14,199.64,78.16,79.43,78.16,22.01,56.82,21.25,402.32,33.23,14.13,52.03,28.53,14.21,26.56,16.42,10.46,9.13,20.28,20.98
Healthy soybean,80.8,23.74,194,60.25,65.28,60.25,19.75,30.37,21.76,357.76,43.79,9.52,98.69,28.58,13.45,26.87,16.82,5.96,11.18,15.64,11.89
Healthy soybean,75.25,22.16,226.15,54.09,82.33,54.09,15.34,42.4,25.06,393,49.98,14.26,56.73,22.07,19.07,28.9,12.28,5.98,9.03,14.72,17.09
Healthy soybean,100.16,25.7,172.87,70.58,55.93,70.58,17.76,30.54,20.75,339.56,47.81,8.15,74.8,29.37,17.76,29.13,20.93,10.54,17.24,21.61,13.86
Healthy soybean,58.47,34.06,183.08,67.47,67.36,67.47,18.36,40.06,21,217.67,44.77,16.55,53.69,24.19,17.58,24.71,13.8,10.24,12.23,20.32,14.75
Healthy soybean,45.47,29.25,218.05,82.37,78.72,82.37,20.4,56.8,18.53,303,26.44,8.84,61.6,25.59,18.65,21.14,16.52,8.36,10.76,23.59,17.8
Healthy soybean,84.78,39.92,209.06,73.86,96.58,73.86,21.96,49.09,23.92,394,45.84,13.17,81.55,20.01,20.05,22.65,16.44,3.56,12.91,17.84,13.49
Healthy soybean,58.85,35.24,192.91,52.99,53.5,52.99,14.75,43.18,26.39,217.08,38.41,14.31,79.65,21.7,15.28,26.44,13.41,9.94,11.43,23.51,12.39
Healthy soybean,71.17,36.7,186.31,58,74.36,58,22.74,34.14,19.2,363.09,37.87,12.08,86.64,28.84,15.09,30.3,13.72,1.65,13.23,19.5,12.21
Healthy soybean,46.73,22.51,220.9,65.6,81.18,65.6,17.49,46.55,26.02,410.99,33.7,7.81,90.15,27.14,12.26,22.83,15.71,7.63,15.1,23.72,20.79
Healthy soybean,101.6,38.02,239.01,68.08,52.05,68.08,22.94,31,25.54,267.26,48.96,16.4,93.34,24.37,14.07,29.31,13.56,9.26,9.56,17.4,13.38
Healthy soybean,69.33,28.39,150,53.9,53.69,53.9,22.21,50.4,18.08,353.83,35.87,10.23,84.61,24.87,16.38,26.97,19.44,2.63,18.7,21.55,15.09
Healthy soybean,108.92,24.79,184.68,83.9,85.23,83.9,20.93,30.44,21.4,223.79,32.2,12.07,61.19,24.32,19.77,25.47,15.39,2.42,18.71,14.44,12.64
Healthy soybean,81.48,30.88,156.96,89.93,87.22,89.93,15.59,46.62,18.66,273.81,32.34,15.16,58.89,28.24,13.62,30.07,20.43,9.74,10.57,21.97,20.38
Healthy soybean,80.13,23.8,235.58,94.8,55.63,94.8,15.42,53.53,26.44,318.37,20.18,13.13,54.08,25.01,11.14,23.87,12.13,4.11,16.38,14.9,11.36
Healthy soybean,98.67,30.95,197.84,88.06,75.63,88.06,22.55,38,22.52,384.86,25,13.94,54.75,28.34,14.61,29.01,17.31,3.08,16.49,22.58,15.17
Healthy soybean,40.75,39.82,191,95.77,77.12,95.77,15.49,57.66,21.85,308,25.58,10.48,88.06,21.68,15.64,25.11,16.5,9.57,16.43,22.29,20.54
Healthy soybean,62.01,28.79,181.02,56.52,72.84,56.52,15.27,38.64,25.49,336,44.8,10.57,81.14,24.53,16.41,27.58,12.63,3.91,9.54,18.79,13.65
Healthy soybean,79.25,25.72,157.62,58.24,77.08,58.24,21.46,56.85,24.81,214.86,41.57,12.82,60.3,21.14,17.98,22.69,19.15,3.8,16.54,21.13,15.46
Healthy soybean,83.47,35.87,191.54,73.63,75.89,73.63,18.94,40.48,21.7,231.81,20.96,8.07,83.06,21.18,11.34,22.72,19.32,3.18,18.3,20.4,11.49
