,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,39.07,19.86,93.4,35.96,49.28,17.56,8.41,24.34,17.14,179.39,14.56,19.48,30,14.92,9,11.96,4.82,16.53,43.05,4.73,8.85
Infection plant,38.62,14.39,118.84,28.01,26.14,19.53,4.04,23.53,8.25,147.96,18.03,25.39,28.42,13.44,2.5,16.21,3.29,18.87,58.78,6.41,8.48
Infection plant,32.16,12.1,89.04,27.42,44.35,23.23,3.11,28.84,11.34,204.89,12.62,24.42,17.24,18.74,6.5,11.9,7.27,78.19,54.47,8.34,8.31
Infection plant,35.98,12.61,98.28,15.71,46.59,24.11,8.63,20.34,14.5,126.87,8.97,24.24,13.49,17.42,6.46,18.37,2.18,70.35,72.8,12.83,10.03
Infection plant,35.46,20.66,119,16.57,34.04,17.43,4.77,18.65,15.06,136.31,19.11,18.19,35.3,12.21,6.26,17.92,2.63,94.6,65.42,6.85,10.48
Infection plant,31.43,13.61,139,28.98,32.27,18.46,6.6,29.76,12.94,110.18,16.18,22.39,25.93,11.77,8.8,13.59,10,55.22,54.05,10.66,4.97
Infection plant,31.24,13.31,90.44,24.3,20.56,18.98,5.5,20.73,11.56,186.14,11.54,17.37,29.77,10.99,3.9,20.98,1.53,99.81,65.64,9.22,10.46
Infection plant,34.83,12.75,121.82,46.08,24.43,25.6,10.25,18.29,12.92,163.64,17.05,25.31,15.03,14.86,7.62,13.06,4.39,66.54,22.69,9.43,3.73
Infection plant,30.08,14.43,101.62,15,48.19,21.54,6.7,17.48,12.52,128.66,14.39,18.28,30.58,17.95,2.21,20.58,5.43,55.17,27.58,9.32,1.15
Infection plant,35.49,12.41,118.83,13.1,34.26,21.5,9.26,27.35,16.07,201.18,14.9,21.75,14.39,17.53,6.22,15.04,1.6,27.72,71.52,8.37,10.08
Infection plant,32.08,18.61,98.93,27.93,48.41,23.84,10.35,14.17,12.78,188.89,10.17,20.42,36.99,18.84,1.97,20.6,8.67,55.92,49.39,10.96,4.11
Infection plant,38.15,18.52,138.56,39.68,35.97,22.75,6.46,15.61,13.06,125.01,19.09,18.26,13.12,18.71,9.25,19.44,1.47,72.59,83.47,7.32,7.36
Infection plant,38.95,21,81.61,19.17,29.25,23.72,3.26,26.77,15.02,135,17.84,18.03,27.44,13.72,7.73,19.49,3.9,36.2,80,5.74,6.63
Infection plant,38.94,18.58,128.97,24.28,24.52,18.68,5.64,27.56,9.01,181.32,9.23,24.67,17.15,19.5,2.87,12.11,5.91,60.47,46.79,12.12,1.48
Infection plant,34.02,14.98,84,48.14,47.57,19.4,5.83,18.81,15.48,139,19.68,24.02,42.47,11.49,8.61,13.68,9.68,54.57,94.99,11.09,6.52
Infection plant,32.51,20.43,106.08,14.3,41.07,16.62,10.26,21.59,14.72,167.2,11.62,18.79,47.84,15.4,8.47,15.61,3.7,98.61,23.17,12.78,1.61
Infection plant,38.46,12.6,98.16,21.29,46,17.03,6.79,18.79,10.65,164.64,11.74,25.1,12.72,15.13,3.97,17.96,6.7,17.25,63,12.75,7.32
Infection plant,38.73,15.91,102.08,48.86,44.02,20.1,11.97,26.04,17.69,150,8.05,22.99,23.92,15.83,6.86,18.16,2.62,92.92,85.02,10.39,8.17
Infection plant,33.28,13.82,122.35,20.48,45.89,25.22,11.43,25.7,17.91,187.78,10.4,18.75,15.81,11.36,2.7,19.43,10.33,87.58,59.16,11.73,8.99
Infection plant,33.24,18.51,113,32.79,30.26,21.76,6.48,20.67,8.93,115.83,11.5,26.78,42.3,16.68,9.55,11.87,1.77,58.09,37.11,10.14,3.8
Infection plant,36.76,19.54,100.07,30.97,24.96,21.83,10.55,14.42,17.09,163.56,19.9,17.29,16.57,17.72,7.45,14.84,4.38,61.2,54.56,13.73,8.12
Infection plant,32.62,16.89,95.51,29.71,43.62,19.6,5.53,17.37,11.54,168,11.64,18.01,48.9,13.24,10.98,18.28,7.58,63.72,55.77,6.8,3.04
Infection plant,32.48,17.99,90.09,23.64,34.96,20.75,3.7,29.79,17.33,111.9,11.18,23.4,23.38,12.04,10.85,12.15,9.53,77.4,19.97,8.99,5.15
Infection plant,30.86,13.87,93.54,46.51,49.21,20.52,12.77,29.69,8.66,175.24,12.49,18.12,36.87,16.84,4.11,19.61,5.94,83.57,54.75,10.08,7.56
Infection plant,35.23,21.74,130.16,38.01,34.78,18.53,8.79,29.45,10.61,203.38,11.63,23.46,49.73,14.98,10.96,18.42,9.81,62.91,73.15,12.43,2.68
Infection plant,34.36,19.7,134,13.71,29.95,25.82,9.89,29.01,16.59,114.07,8.39,24.5,16.8,10.33,5.93,19.37,10.55,92.88,59.5,4.6,4.65
Infection plant,35.79,14.02,91.05,41.35,31.93,25.38,10.18,27.24,12.18,165.31,15.7,25.71,44.91,19.47,5.2,18.61,5.9,42.23,65.58,13.28,5.86
Infection plant,30.01,19.16,89,48.3,43.93,19.06,3.38,16.34,14.03,204.33,15.93,22.59,17.21,18.27,5.36,18.98,6.47,47.92,40.53,8.56,5.61
Infection plant,37.24,19.22,119.17,11.41,47.52,25.98,10.08,29.04,11.18,134.85,12.14,23.14,25.3,15.77,3.2,19.95,3.97,91.34,76.34,12.77,1.25
Infection plant,30.48,15.05,122.52,36.72,38.78,23.8,9.49,19.04,16.85,204.46,17.75,21.4,40.79,16.41,8.12,11.69,9.41,57,22.95,11.89,5.51
Infection plant,37.14,16.36,137.82,15.45,49.16,24.6,7.81,22.01,13.76,125.87,15.17,25.11,26.14,13.21,10.93,17.06,9.59,32.09,23.73,6.93,4.12
Infection plant,35.7,12.32,87.69,21.75,23.53,25.88,4.76,19.4,8.76,157.88,14.35,25.36,48.22,16.48,5.75,18.84,1.22,16.07,43.34,5.11,2.35
Infection plant,30.82,14,83.55,39.18,45.79,24.13,9.11,22.76,10.27,165.73,10.85,17.51,28.53,12.86,5.15,19.7,2.42,58.92,68.09,10.7,1.89
Infection plant,37.88,16.4,128.49,34.77,29.57,18.4,9.03,25.03,14.94,127.67,8.84,22.12,16.87,13.13,3.06,19.32,5.17,56.05,47.91,8.14,4.38
Infection plant,33.34,17.46,86.61,45.79,36.96,24.82,5.46,25.96,10.03,173.44,12.31,25.84,29.44,15.82,4.78,19.36,5.76,38.45,54.97,8.35,5.79
Infection plant,37.18,17.06,104.87,28.42,35.53,22.34,8.39,29.86,14.35,183.18,12.47,20.9,20.86,10.55,4.75,18.4,9.88,57.47,34.9,4.42,2.61
Infection plant,37.49,18.64,117.83,35.05,33.93,20.45,7.42,20.31,14.95,113.4,10.64,26.35,29.22,18.86,5.33,13.75,9.84,22.05,54.11,13.78,8.81
Infection plant,33.39,13.46,84.17,20.82,47.88,19.52,8.5,24.62,11.47,165.28,11.21,25.73,27.46,17.77,10.91,14.28,6.8,35.2,92.33,5.56,1.75
Infection plant,35.55,14.83,117.62,28.81,28.94,16.32,8.3,15.93,15.12,118.38,17.76,25.55,31.05,14.43,10.34,19.03,4.6,55.05,55.17,5.13,10.34
Infection plant,39.51,16.54,85.25,38.87,22.15,23.69,8.7,20.3,9.76,116.43,13.23,25.66,32.12,10.51,5.35,15.83,9.99,55.67,54.9,13.61,6.3
Infection plant,30.16,17.56,132.52,45.84,49.05,16,12.91,23.79,15.86,148.17,17.59,19.34,27.55,17.97,4.41,18.2,8.9,64,50,9.49,7.49
Infection plant,37.3,21.71,121.69,35.94,36.91,17.02,8.04,19.02,12.25,192.4,14.24,25.86,16.03,11.11,2.96,17.29,5.83,99,84.54,11.9,7.03
Infection plant,33.15,15.18,125.79,38.36,49.74,19.83,7.96,26.67,14.36,167.52,12.55,20.87,38.6,16.54,3.56,20.39,8.76,98.45,33.38,8.21,7.91
Infection plant,36.32,17.94,86.34,28.64,39.28,23.92,8.05,26.61,12.09,190,9.42,23.1,45.55,19.03,5.12,20.92,8.31,23.41,85.32,12.41,6.64
Infection plant,30.66,18.86,90.55,10.58,28.06,21.48,5.98,14.63,9.18,152.01,11.57,19.94,19.24,13.78,4.61,14.21,7.44,28.56,27.09,9.69,2.06
Infection plant,34.64,15.61,137.11,30.91,28.15,18.77,7.61,26,15.38,152.04,11.92,18.15,23.4,15.9,2.76,11.37,4.02,85.12,23.76,11.72,9.61
Infection plant,35.71,14.76,137.31,37.32,33.76,16.46,7.07,29.61,16.55,130.64,16.85,17.99,12.91,16.72,9.94,11.07,7.63,57.11,63.46,13.72,7.74
Infection plant,33.73,20.41,118,14.54,20.9,20.38,8.6,20.05,11.03,185.85,9.43,21.41,39.72,10.94,2.38,18.73,7.81,87.43,35.09,10.52,9.18
Infection plant,38.07,15.01,97.93,47.19,37.12,24.93,5.68,28.35,15.17,158.13,16.54,19.51,16.41,12.66,7.42,18.91,8.78,55.7,76.74,10.81,5.71
Infection plant,37.52,14.19,117.52,45.94,44.22,16.13,11.11,21.32,9.65,128.28,9.3,20.89,49.96,16.16,6.79,13.51,6.81,73.33,62,12.91,5.5
Infection plant,38.76,15.03,98.89,35.31,46.3,17.76,7.6,21.74,11.82,149.04,12.52,18.35,16.04,14.2,3.93,15.66,6.11,69.32,84.72,11.88,1.01
Infection plant,34.5,12.12,88.12,26.45,46.93,20.29,11.92,15.49,15.42,114.02,10.1,20.74,10.44,10.39,4.03,13.54,9.05,96.98,66.03,9.8,10.12
Infection plant,38.26,21.85,91.2,32.47,35.19,22.6,10.42,16.68,16.83,186.47,8.34,21.57,46.7,12.55,3.68,18.45,3.98,50.66,95,5.07,9.04
Infection plant,38.6,19.67,124.86,19.69,37.41,21.27,11.91,21.58,9.46,119.93,15.21,17.02,19.26,16.3,9.41,13.14,5.07,82.56,54.33,12.18,8.84
Infection plant,37.1,14.1,108.37,16.78,22.69,22.54,9.81,23.27,8.01,175.48,18.04,19.83,43.88,10.18,4.8,14.93,7.68,93.93,25.47,7.07,9.96
Infection plant,36.96,14.5,135.66,33.78,39.14,20.78,10.64,14.47,9.54,179.23,16.53,22.37,17.31,14.9,1.89,14.16,6.32,26.09,55.04,6.06,1.07
Infection plant,34.49,12,81.89,49.73,45.33,17.55,8.82,21.41,9.05,194,9.92,24.3,27.4,12.18,2.84,20.81,1.61,89.42,47.6,6.38,4.17
Infection plant,38.52,20.73,97.12,22.83,34.33,19.43,4.15,24.98,9.66,161.14,11.3,20.53,19.79,17.35,5.1,15.57,9.3,22.14,20.69,12.38,8.79
Infection plant,38.96,19.93,116.08,17.88,39.93,24.2,11.9,15.05,9.08,158.16,14.06,20.64,43.74,11.6,8.28,18.71,9.92,25.26,21,6.71,10.58
Infection plant,31.2,20.77,122.86,29,33.61,19.33,9.36,25,16.21,165.35,13.21,21,20.7,14.35,8.18,19.13,10.02,55.82,75.27,10.36,2.15
Infection plant,32.46,13.64,138,16.04,35.94,20.49,3.03,15.01,8.69,151.12,10.45,22.83,11.35,16.5,9.82,15.74,8.51,41.87,44.83,5.36,5.17
Infection plant,36.02,16.45,112.97,17.32,45.26,17.72,6.55,24.93,8.18,186.63,10.12,21.47,31.38,15.46,6.2,17.19,9.78,75.56,38.09,11.14,4.75
Infection plant,37.66,19.96,82.48,29.13,49.11,21.78,4.41,22.17,11.31,162.45,11.12,18.96,16.32,19.91,5.28,13.19,5.77,55.93,46.12,5.28,5.31
Infection plant,38.34,13.24,120.94,18.08,20.23,21.55,9.13,29.9,14.85,148.24,13.48,18.33,32.33,16.79,2.39,15.8,6.16,59.28,87.64,7.82,9.95
Infection plant,34.43,13.78,86.81,10.66,32.65,22.82,11.33,22.77,8.79,145.49,10.88,20.09,46.05,18.6,5.03,15.99,1.48,63.78,54.61,4.03,5.65
Infection plant,32.76,18.19,127.93,44.61,32.88,19.82,12.35,17.58,8.87,164.49,14.75,24.43,22.48,12.35,8.87,12.2,1.74,74.63,54.12,7.35,8.06
Infection plant,31.72,15.47,114.13,42.71,40,22.36,8.73,17.3,17.11,169.71,18.31,23.52,11.37,11.88,9.51,11.47,5.39,58.26,38.92,11.35,3.15
Infection plant,39.06,17.55,134.16,16.4,20.62,23.19,8.74,22.37,12.73,141.97,13.78,26.93,44.98,12.3,5.81,20.68,5.28,83.23,54.72,12.86,9.59
Infection plant,30.45,18.22,96.6,19.73,46.04,20.51,12.51,26.55,17.79,208.17,17.25,17.76,46.77,19.51,8.77,13.87,8.16,31.37,75.06,13.7,2.05
Infection plant,39.37,15.29,83.36,48.74,39.76,21.63,8.28,28.73,12.46,183.52,16.14,20.77,36.11,13.85,3.07,16.68,8.81,34.42,69.51,4.96,4.33
Infection plant,32.14,20.65,92.63,22.13,48.94,16.38,5.48,20.18,10.12,134.3,12.41,21.43,36.34,11.39,4.47,16.44,7.05,35,87.76,9.67,8.54
Infection plant,31.83,20.26,97.01,40.67,30.3,19.62,4.23,17.11,8.89,175.86,16.44,18.23,38.89,17.38,9.7,12.33,3.46,70.98,87.86,8.64,3.01
Infection plant,36.34,18.69,133.41,27.8,38.31,18.79,4.1,25.07,15.05,135.93,10.79,18.81,38.8,19.69,7.18,13.26,1.46,23,74.54,13.75,1.81
Infection plant,37.41,17.83,122.13,44.98,39.62,16.33,8.21,24.11,13.93,195.52,9.58,26.45,23.21,14,1.26,16.74,3.34,72.28,78.16,11.12,3.68
Infection plant,37.84,18.24,84.35,39.1,49.98,18.36,10.47,17.2,15.54,147,13.71,23.12,38.09,15.67,8.14,17.5,1.45,61.19,34.96,13.22,5.7
Infection plant,38.09,18.62,129.18,41.06,49.37,16.22,6.31,21.45,10.81,197.64,11.96,19.2,29.46,13.64,6.01,13.95,8.64,33.7,54.86,9.99,5.99
Infection plant,36.75,14.89,126.17,25.65,25.33,25.24,11.03,28.8,11.45,134.71,10.02,22.2,20,16.89,7.27,20.66,8.87,16.86,55.7,8.27,9.11
Infection plant,31.29,16.73,128.17,47.32,33.91,22.93,12.11,18.73,10.28,144.19,19.47,26.94,15.5,12.44,6.96,12.44,4.07,55.9,49.16,4.61,6.65
Infection plant,39.8,21.54,89.63,23.76,31.13,19.19,5.05,24.73,14.73,195.77,8.54,19.33,32.07,14.66,10.19,17.82,6.65,15.52,60.33,8.57,4.34
Infection plant,37.21,16.29,113.31,27.21,30,21.71,8.52,19.27,10.99,113.04,18.07,19.03,38.01,16.91,3.11,16.31,2.75,61.1,79.85,4.09,4.45
Infection plant,36.37,19.21,121.88,45.16,21.19,23.41,8.47,21.9,13.66,109,10.24,19.54,36.3,15.99,8.69,11.78,10.82,82.72,72.15,12.22,7.71
Infection plant,37.33,16.35,102.75,27.18,20.65,18.11,5.27,16.2,15.74,121.71,13.67,21.38,27,19.32,1.65,19.3,8.74,68.47,55.35,5.4,4.69
Infection plant,35.27,21.95,136.73,36.3,47.27,23.48,4.58,26.24,16.12,136.9,15.71,23.49,24.22,19.23,6.75,14.73,2.36,80,56.64,8.44,3.6
Infection plant,37.93,14.91,111.4,18.98,21.38,23.3,12.93,17,16.06,202.56,12.46,19.98,24.48,11.64,1.99,12.26,7.97,88.85,72,13.71,1.84
Infection plant,33,14.51,112,31,37.72,21.7,8.53,20.71,13.18,183.69,8.8,18.55,47.83,16.09,7.61,16.52,8.48,21.47,54.32,6.73,5.1
Infection plant,37.87,20.36,90.6,38.09,48.85,20.41,9.56,23.56,8.82,154.26,15.65,23.44,32.39,16.71,10.73,11.12,7.36,54.25,91.83,7.74,10.43
Infection plant,34.06,15.64,97.48,19.3,39.8,19.37,6.04,17.99,11.76,171.08,12.43,17.75,20.09,15.59,6.68,19.4,5.75,50.98,59.86,5.39,10.13
Infection plant,36.98,21.22,87.98,30.64,23.34,21.61,7.17,15.84,10.29,209.34,20.25,19.36,47.29,15.15,4.19,18.74,1.01,88.05,54.18,7.57,4.85
Infection plant,31.51,13.34,116.61,36.21,25.19,22.73,7.9,24.46,10.24,121,9.18,17.13,26.07,15.69,8.98,12.09,7.1,56.25,74,9.89,2.66
Infection plant,30.49,17.24,86.64,17.76,38.94,17.89,7.56,14.33,11.8,191.96,12.65,18.87,27.8,19.78,2.48,12.55,10.2,85,69.14,6.64,10.41
Infection plant,33.74,21.2,124,43,38.42,17.33,6.24,20.1,17.38,125.53,11.72,22.84,27.34,11.58,1.52,15.49,5.11,85.84,59,9.01,10.84
Infection plant,39.28,20.34,91.95,29.14,49.91,22.16,8.02,25.63,16.82,170.17,17.1,19.43,45.29,10.53,3.64,19.6,9.67,35.88,39.78,6.11,4.28
Infection plant,39.59,17.39,124.9,34.23,37,22.88,8.37,29.3,12.37,158.07,14.65,25.03,46.08,13.17,4.9,17.89,4.8,34.9,93.27,9.18,6.69
Infection plant,30.09,12.14,103.87,27.63,48.32,22.56,6.94,26.09,11.81,177.07,8.86,26.07,37.03,10.34,5.22,14.02,5.54,52.93,95.58,6.79,3.92
Infection plant,35.51,18.29,128.04,32.78,48.95,22.7,5.26,27.33,17.87,152.38,13.91,25.51,29.36,18.03,6.25,11.63,6.31,18.88,33.44,7.04,8.4
Infection plant,31.35,15.79,84.71,13.61,31.95,17.81,8.76,27.08,11.37,145.97,12.15,22.88,31.4,16.4,5.72,15.34,4.49,99.53,33.93,7.61,5.87
Infection plant,33.88,16.71,93.76,49,35,22.06,6.99,22.83,9.88,157,10.71,17.91,39.09,18.26,2.14,17.08,10.76,67.33,56.97,10.07,10.47
Infection plant,38.69,14.62,98.41,34.18,33.24,20.6,10.92,26.95,15.36,196.28,13.04,25.88,46.43,19.42,3.02,12.99,5.47,55.29,94.26,6.94,7.73
Infection plant,36.19,19.71,91.15,47.99,38.06,18.22,9.7,23.42,17.39,132.16,9.22,19.55,17.29,11.46,9.15,15.09,2.72,91.87,93.72,4.13,9.14
Infection plant,39.83,15.75,124.55,30.88,48.39,19.05,9.47,29.47,13.33,167.84,8.02,19.39,16.69,10.6,6.05,20.85,3.4,60.39,42.63,12.37,3.08
Infection plant,30.42,19.97,84.06,49.78,31.7,20.19,3.6,23.28,15.29,201.06,13.02,22.41,39.7,15.22,1.91,11.68,1.86,26.12,57.56,12.58,10.82
Infection plant,30.35,18.59,86,39.07,36.54,21.92,5.2,24.13,9.21,170.79,9.8,20.38,32.81,11.41,2.44,18.43,6.84,16,99.64,4.93,4.99
Infection plant,36.95,17.12,86.96,36.95,21,17.32,9.71,21.11,16.93,137.08,14.16,25.6,47.39,14.7,2.82,14.97,7.14,38.48,65.08,5.71,6.75
Infection plant,30.15,21.84,134.8,34.19,35.7,22.01,8.72,15.67,14.34,111.48,13.99,26.71,10,13.23,1.85,19.81,6.09,20.2,86.62,6.92,1.39
Infection plant,30.52,19.33,135.1,38.3,47.42,20.02,8.35,25.17,12.23,189.25,13.63,22.55,28.09,11.83,6.44,11.54,7.94,42.41,60.24,9.82,3.59
Infection plant,37.91,18.88,131.31,35.3,47.62,18.87,9.5,16.6,11,116.19,16.28,19.32,10.63,19.98,1.74,17.14,5.12,57.26,46.84,13.41,6.66
Infection plant,38.54,18.66,116,18.81,45.65,20.54,10.72,29.08,14.58,115.9,9.4,20.23,48.51,19.08,2.53,12.43,7.31,63.54,94.16,9.76,5.42
Infection plant,36.59,13.1,83.98,44.91,23.83,22.74,7.24,25.04,9.04,129.5,14.63,26.51,46.19,19.96,9.11,17.69,3.51,27.49,23.59,6.09,2.6
Infection plant,31.26,16.74,97.86,29.7,47.55,22.47,3.54,27.49,9.12,186.67,16.89,19.5,44.7,17.68,1.34,11.08,1.21,26.37,43.96,13.52,10.91
Infection plant,33.53,13.67,136.17,33.26,32.97,20.79,3.53,20.56,16.8,121.31,16.21,26.09,31.46,17.59,7.52,12.66,5.29,55.37,32.33,9.97,4.05
Infection plant,32.91,17.87,133.01,47.4,37.6,24.01,9.75,23.66,14.78,118.09,8.06,26.68,25.34,16.38,8.34,18.13,7.33,55.28,92.63,12,1.04
Infection plant,39.04,20.18,94.94,22.16,27.39,22.52,4.12,25.5,16.29,193.84,10.25,23.58,17.63,10.43,4.3,17.13,9.01,61.64,31.69,8,6.97
Infection plant,34.91,15.28,110.14,11.97,37.24,25.29,11.71,28.32,16.17,207.99,14.69,23.96,46.97,14.31,3.24,16.37,7.87,84.85,44,7.47,8.83
Infection plant,38.74,19.82,136.48,47.22,26.65,16.24,12.38,26.96,17.25,178.17,13.69,17.59,18.25,12.53,6.61,14.58,6.74,79.2,58,10.4,8.92
Infection plant,35.02,12.62,88.96,28.6,32.44,23.15,3.62,22.62,12.1,189.06,18.43,26.11,25.98,11.2,4.94,20.25,10.22,85.09,42.21,9.95,8.09
Infection plant,34.65,15.27,115.58,14.55,30.13,24.3,10.81,25.57,8.57,205.66,8.66,23.7,37.07,17.2,2.07,18.02,4.52,60.36,42.27,9.62,5.33
Infection plant,37.86,16.75,95.94,18.11,25.39,24.16,6.89,14.02,8.55,198.62,15.5,23.18,18.63,17.44,1.13,13.7,10.11,55.21,28.12,4.99,8.05
Infection plant,32.77,19.4,101,36.46,29.16,21.12,10.54,16.17,15.85,146.58,9.72,20.62,27.52,17.23,5.92,13.16,1.55,47.89,21.69,9.96,6.45
Infection plant,32.89,17.93,119.44,35,49.58,22.69,7.45,15.94,14.14,176.79,12.94,22.94,24.19,18.25,2.81,16.6,7.67,45.01,43.17,11.75,6.88
Infection plant,32.92,12.84,96,12,30.8,23.14,11.04,28.11,14.74,174,11.28,26.89,15.21,11.04,7.65,13.43,6.45,63.85,46.29,4.05,9.08
Infection plant,32.33,20.57,85.32,42.47,49.68,17.88,11.2,29.27,14.26,207.24,14.21,25.43,16.68,13.69,5.05,18.99,7.8,64.39,41,10.97,6.44
Infection plant,38.02,18.96,123.97,29.64,30.57,21.1,7.84,22.99,12.57,169.06,8.56,21.08,32.64,13.14,4.18,12.39,3.36,32,74.07,9.52,4.48
Infection plant,39.27,17.23,98.68,14.75,36.29,18.59,11.75,26.11,14.89,121.08,16.2,22.49,48.29,19.71,3.59,19.5,7.96,55.86,55.06,8.76,4.87
Infection plant,35.16,21.26,136.15,47.33,45.1,25.14,7.83,18.88,8.41,187.32,10.86,20.46,13.06,17.48,6.08,17.28,7.65,55.59,49.36,13.6,5.09
Infection plant,33.01,19.68,134.86,28.32,35.35,20.91,7.48,29.15,15.82,192.78,16.07,24.39,29.79,14.68,3.58,15.52,1.03,25.59,82.74,7.75,2.21
Infection plant,30.74,17.47,108.67,38.23,47.22,16.7,7.44,18.77,11.39,147.88,14.83,18.44,43.65,17.51,10.03,17.18,1.16,61.44,38.16,13.11,8.44
Infection plant,31.68,15.36,137.64,18.85,38.3,16.37,12.69,20.77,11.84,148.87,13.16,18.9,22.39,18.47,2.19,20.34,8.49,34.12,80.23,10.65,2.67
Infection plant,31.14,21.82,83.24,39.81,38.58,22.79,5.1,25.97,14.65,195.54,10.41,19.77,43.39,14.33,9.86,20.74,9.48,80.43,55.55,6.03,5.25
Infection plant,35.52,21.34,116.13,42.96,25.38,22.96,7.92,25.32,11.97,141,16.61,23.04,47.72,10.58,9.34,13.91,2.17,60.54,24.9,13.44,7
Infection plant,33.61,16.33,85.03,14.5,21.12,19.16,12.97,15.02,15.64,167.98,18.89,21.26,25.17,18.32,8.76,12.77,2.38,88.34,76.06,9.13,10.55
Infection plant,30.27,20.12,95.27,42.4,23.16,17.63,9.38,29.75,11.59,173.54,9.53,18.53,40.55,17.09,3.29,16.86,6.12,31.98,57.09,12.68,7.67
Infection plant,38.53,20.79,81,45.3,32,24.07,6.08,18.05,8.35,209.42,15.34,18.63,46.3,14.22,7.98,13.74,1.49,23.11,83.31,11.05,8.73
Infection plant,35.09,18.72,92.64,27,25.51,19.85,10.65,24.89,10.34,154.11,8.12,23.55,46.73,18.66,6.27,19.24,6.28,40.85,39.3,6.32,1.19
Infection plant,37.01,12.23,123.59,12.8,33,18.41,6.22,18.43,17.05,188.76,18.37,17.82,20.16,18.77,9.3,17.31,9.31,18,99.51,12.36,2.23
Infection plant,39.4,16.08,112.68,37.1,22.06,16.97,3.66,27.5,15.68,188.78,13.19,19.31,26.72,13.37,1.23,19.2,1.25,89,53.17,12.65,4.62
Infection plant,33.42,18.28,121.6,17.72,29.9,18.16,4.63,21.85,16.1,168.73,12.81,20.43,28.12,19.3,1.56,17.51,3.8,90.91,38.98,5.62,7.75
Infection plant,35.38,20.7,83.18,16.41,49.49,19.24,10.51,28.42,8.03,139.57,16.39,18.84,29.13,14.69,1.7,15.72,3.83,87.32,50.18,9.25,4.56
Infection plant,35.84,18.55,96.83,23.48,30.41,16.01,8.83,17.1,16.48,148,9.95,24.51,35.5,11.84,10.33,18.15,6.91,38.65,37.71,12.8,3.36
Infection plant,31.07,13.16,93.09,26.67,34.8,23.75,9.22,24,14.23,140.16,11.84,17.92,22.49,18.31,8.64,19.15,5.32,72,42.99,6.19,7.14
Infection plant,36.68,16.15,104.98,44.14,47.9,23.95,9.04,20.64,12.89,200.22,15.47,22.67,35.08,17.11,9.04,15.82,1.92,47.31,71.38,4.54,2.45
Infection plant,35.69,14.73,99.66,35.73,38.48,22.98,8.87,23.37,17.47,193.7,10.92,23.81,43.66,14.71,3.98,19.19,3.31,61.72,76.54,8.06,4.74
Infection plant,36.41,19.25,107.17,23.38,29.48,18.9,11.05,16.72,15.41,197.08,15.92,18.57,22.13,13.32,6.16,19.04,10.72,37.61,25.7,12.09,6.74
Infection plant,35.18,12.94,87.95,24.19,48.54,16.5,6.56,27.26,11.46,155,10.65,17.39,15.94,16.31,7.35,18.11,7.35,60.13,36.41,7.09,6.8
Infection plant,39.65,16.05,83.2,44.51,38.17,17.5,7.36,27.6,8.86,143.15,12.97,17.01,28.9,16.75,9.26,16.55,3.4,34.31,53.14,10.58,9.24
Infection plant,35.68,17.7,80.1,14.34,48.83,23.61,4.25,19.03,15.58,117.74,14.38,17.58,34.77,18.52,1.68,14.47,1.2,26.11,55.69,11.37,8.24
Infection plant,36.94,13.69,133.58,13.59,39.67,25.25,12.55,17.41,8.73,201.01,10.48,24.84,15.71,14.34,7.8,18.69,4.53,90.17,25.62,7.69,7.25
Infection plant,35.28,18.82,105.36,11,20.99,19.55,7.08,17.87,13.41,130.4,10.84,24.12,42.62,12.59,10.27,15.81,2.94,66.24,55.48,13.46,1.23
Infection plant,35.48,13.93,99.68,15.63,44.88,23.85,3.73,22.12,16.66,191.7,10.57,22.79,16.83,15.8,5.89,12.27,10.94,30.73,21.49,7.65,10.4
Infection plant,33.43,19.24,80.85,16.68,34.34,16.72,10.13,18.78,14.68,137,9.19,23.75,45.94,18.96,8.39,17.11,8.52,86.43,54.68,8.07,8.28
Infection plant,38.38,13.02,133.74,34.93,48.01,18.8,4.14,29.17,8.6,144.73,12.64,17.05,18.6,14.29,9.84,15.79,6.94,97,62.12,6.89,8.34
Infection plant,31.21,16.9,92.27,34.21,34.49,22.12,8.94,18.07,11.91,160.99,14.13,22.36,45.48,16.77,3.31,15.59,7.04,55.94,54.39,6.23,10.27
Infection plant,30.68,13.71,94.72,27.17,47.37,21.74,6.64,17.05,17.27,138.19,13.97,25.61,30.81,16.47,1.64,20.89,1.43,75.66,75.99,13.93,6.25
Infection plant,36.29,19.51,94.43,40.36,49.5,19.41,3.75,23.31,16.52,139.85,11.48,24.52,23.46,13.16,6.43,15.37,4.88,55.62,56.63,5.01,5.4
Infection plant,35.43,19.05,129.68,47.14,49.9,19.93,12.34,18.7,17.5,177.28,12.53,17.52,20.41,19.31,5.4,20.97,2.2,68,26.03,10.9,10.16
Infection plant,35.65,20.72,133,45.82,45.61,16.1,8.12,27.16,10.33,159.88,12.9,20.25,40.24,19.77,7.76,14.43,6.27,55.57,57.27,9.44,3.71
